Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Saw IV,2007-10-25,en,93.0,139352633,10000000,Horror,2007,10,25,5.9,R,93166989
White Noise,2005-01-07,en,101.0,91196419,10000000,Drama,2005,1,7,5.5,PG-13,129352633
Madea's Family Reunion,2006-02-24,en,110.0,57231524,6000000,Drama,2006,2,24,5.2,PG-13,81196419
The Color of Money,1986-10-07,en,119.0,52293982,13800000,Drama,1986,10,7,7.0,R,51231524
The Longest Day,1962-09-25,en,178.0,50100000,10000000,Action,1962,9,25,7.8,G,38493982
The Mighty Ducks,1992-10-01,en,101.0,50752337,10000000,Comedy,1992,10,1,6.5,PG,40100000
The Grudge,2004-10-22,en,92.0,183474602,10000000,Horror,2004,10,22,5.9,PG-13,40752337
Happy Gilmore,1996-02-16,en,92.0,41205099,12000000,Comedy,1996,2,16,7.0,PG-13,173474602
Jeepers Creepers,2001-07-01,en,90.0,59217789,10000000,Horror,2001,7,1,6.2,R,29205099
Bill & Ted's Excellent Adventure,1989-02-17,en,90.0,40485039,10000000,Adventure,1989,2,17,6.5,PG,49217789
Oliver!,1968-09-26,en,153.0,37402877,10000000,Drama,1968,9,26,7.4,G,30485039
The Best Exotic Marigold Hotel,2011-11-28,en,124.0,136836156,10000000,Drama,2011,11,28,7.2,PG-13,27402877
Recess: School's Out,2001-01-27,en,83.0,44460850,10000000,Science,2001,1,27,6.6,G,126836156
Mad Max Beyond Thunderdome,1985-06-29,en,107.0,36230219,12305523,Action,1985,6,29,6.3,PG-13,34460850
Commando,1985-10-03,en,90.0,57500000,10000000,Action,1985,10,3,6.7,R,23924696
The Boy,2016-01-22,en,97.0,64188367,10000000,Horror,2016,1,22,6.0,PG-13,47500000
Devil,2010-01-13,en,80.0,33583175,10000000,Horror,2010,1,13,6.2,PG-13,54188367
Friday After Next,2002-11-22,en,85.0,33526835,20000000,Comedy,2002,11,22,5.8,R,23583175
Insidious: Chapter 3,2015-06-04,en,97.0,104303851,10000000,Drama,2015,6,4,6.1,PG-13,13526835
The Last Dragon,1985-03-22,en,108.0,25754284,10000000,Action,1985,3,22,6.9,PG-13,94303851
The Lawnmower Man,1992-03-05,en,108.0,32101000,10000000,Horror,1992,3,5,5.5,R,15754284
Nick and Norah's Infinite Playlist,2008-10-03,en,89.0,32973937,9000000,Comedy,2008,10,3,6.6,PG-13,22101000
Dogma,1999-11-12,en,130.0,30652890,10000000,Fantasy,1999,11,12,7.3,R,23973937
Twilight Zone: The Movie,1983-06-24,en,101.0,29450919,10000000,Drama,1983,6,24,6.5,PG,20652890
Road House,1989-05-19,en,114.0,30050028,15000000,Action,1989,5,19,6.6,R,19450919
A Low Down Dirty Shame,1994-11-23,en,100.0,29392418,10000000,Action,1994,11,23,6.0,R,15050028
Swimfan,2002-09-06,en,84.0,34411240,8500000,Drama,2002,9,6,5.1,PG-13,19392418
Employee of the Month,2006-10-06,en,103.0,38368909,12000000,Comedy,2006,10,6,5.5,PG-13,25911240
Can't Hardly Wait,1998-06-12,en,100.0,25605015,10000000,Comedy,1998,6,12,6.5,PG-13,26368909
The Outsiders,1983-03-25,en,91.0,33697647,10000000,Crime,1983,3,25,7.1,PG,15605015
Pete's Dragon,2016-08-10,en,102.0,143695338,65000000,Adventure,2016,8,10,6.7,PG,23697647
The Dead Zone,1983-10-21,en,103.0,20766616,10000000,Horror,1983,10,21,7.2,R,78695338
Sinister 2,2015-08-19,en,97.0,52882018,10000000,Horror,2015,8,19,5.3,R,10766616
Sparkle,2012-08-17,en,116.0,24637469,14000000,Drama,2012,8,17,5.7,PG-13,42882018
The Fourth Kind,2009-11-06,en,98.0,42333295,10000000,Mystery,2009,11,6,5.9,PG-13,10637469
Rushmore,1998-09-17,en,93.0,17096053,9000000,Comedy,1998,9,17,7.7,R,32333295
Skyline,2010-11-11,en,100.0,66821036,10000000,Science,2010,11,11,4.4,PG-13,8096053
The Second Best Exotic Marigold Hotel,2015-02-26,en,122.0,85978266,10000000,Drama,2015,2,26,6.6,PG,56821036
Mo' Better Blues,1990-08-03,en,129.0,16153593,10000000,Drama,1990,8,3,6.6,R,75978266
Tremors,1990-01-19,en,96.0,48572000,11000000,Action,1990,1,19,7.1,PG-13,6153593
Wrong Turn,2003-05-30,en,84.0,28650575,12600000,Horror,2003,5,30,6.1,R,37572000
The Long Riders,1980-05-12,en,99.0,15795189,10000000,Western,1980,5,12,7.0,R,16050575
The Corruptor,1999-03-12,en,110.0,15156200,25000000,Action,1999,3,12,6.1,R,5795189
Mud,2013-05-01,en,130.0,21587700,10000000,Drama,2013,5,1,7.4,PG-13,-9843800
Reno 911!: Miami,2007-02-23,en,84.0,20342161,10000000,Action,2007,2,23,5.9,R,11587700
My Week with Marilyn,2011-10-17,en,99.0,35057696,6400000,Drama,2011,10,17,7.0,R,10342161
The Matador,2005-05-12,en,96.0,17297244,10000000,Action,2005,5,12,6.7,R,28657696
The Gift,2015-07-30,en,108.0,58978653,5000000,Thriller,2015,7,30,7.0,R,7297244
Office Space,1999-02-19,en,89.0,12827813,10000000,Comedy,1999,2,19,7.7,R,53978653
Drop Dead Gorgeous,1999-07-23,en,98.0,10571408,10000000,Comedy,1999,7,23,6.6,PG-13,2827813
Big Eyes,2014-12-24,en,105.0,28883511,10000000,Drama,2014,12,24,7.0,PG-13,571408
Very Bad Things,1998-09-11,en,100.0,9898412,30000000,Comedy,1998,9,11,6.4,R,18883511
Body Double,1984-10-25,en,114.0,8801940,10000000,Crime,1984,10,25,6.8,R,-20101588
MacGruber,2010-05-21,en,90.0,6110000,10000000,Action,2010,5,21,5.5,R,-1198060
Movie 43,2013-01-01,en,90.0,32438988,6000000,Comedy,2013,1,1,4.3,R,-3890000
Seeking a Friend for the End of the World,2012-06-22,en,101.0,9636289,10000000,Comedy,2012,6,22,6.7,R,26438988
American History X,1998-10-30,en,119.0,23875127,20000000,Drama,1998,10,30,8.5,R,-363711
The Red Violin,1998-09-10,en,131.0,9495408,18000000,Drama,1998,9,10,7.6,R,3875127
Bad Words,2013-09-06,en,88.0,7800000,9500000,Comedy,2013,9,6,6.6,R,-8504592
Run Fatboy Run,2007-09-06,en,100.0,33000000,10000000,Comedy,2007,9,6,No Rating,No Rating,-1700000
Heartbeeps,1981-12-18,en,79.0,2154696,10000000,Comedy,1981,12,18,4.2,PG,23000000
Black or White,2014-09-06,en,121.0,21571189,9000000,Drama,2014,9,6,6.6,PG-13,-7845304
Rescue Dawn,2006-09-09,en,126.0,7177143,10000000,Adventure,2006,9,9,7.3,PG-13,12571189
Danny Collins,2015-03-19,en,107.0,10835752,10000000,Comedy,2015,3,19,7.0,R,-2822857
"Jeff, Who Lives at Home",2011-09-13,en,83.0,4417580,10000000,Drama,2011,9,13,6.5,R,835752
Romeo Is Bleeding,1993-09-13,en,100.0,3275585,11500000,Action,1993,9,13,6.6,R,-5582420
The Limey,1999-05-15,en,89.0,3193102,10000000,Action,1999,5,15,7.0,R,-8224415
Crash,2004-01-13,en,112.0,98410061,6500000,Drama,2004,1,13,7.8,R,-6806898
The House of Mirth,2000-09-23,en,140.0,5164404,10000000,Drama,2000,9,23,7.0,PG,91910061
The Forest,2016-01-07,en,95.0,40055439,10000000,Horror,2016,1,7,4.8,PG-13,-4835596
While We're Young,2015-04-03,en,97.0,7587485,10000000,Comedy,2015,4,3,6.3,R,30055439
A Better Life,2011-06-24,en,98.0,1759252,10000000,Drama,2011,6,24,7.2,PG-13,-2412515
Gun Shy,2000-02-04,en,101.0,1631839,10000000,Action,2000,2,4,5.7,R,-8240748
The Iceman,2012-09-01,en,105.0,1969193,20000000,Thriller,2012,9,1,6.8,R,-8368161
Killer Joe,2011-09-10,en,102.0,3665069,10000000,Crime,2011,9,10,6.7,R,-18030807
The Joneses,2009-09-13,en,96.0,7022728,10000000,Comedy,2009,9,13,6.5,R,-6334931
My Blueberry Nights,2007-05-16,en,111.0,21786738,10000000,Drama,2007,5,16,6.6,PG-13,-2977272
"War, Inc.",2008-04-28,en,106.0,1296184,5000000,Action,2008,4,28,5.6,R,11786738
Coriolanus,2011-02-14,en,123.0,1072602,7700000,Drama,2011,2,14,6.1,R,-3703816
Adventureland,2009-04-03,en,107.0,17164377,9500000,Comedy,2009,4,3,6.8,R,-6627398
The Lost City,2005-09-03,en,144.0,4386236,9600000,Drama,2005,9,3,6.6,R,7664377
